OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
192,17 AV SE,Yes,0.5000145,1.664513159,3.3,Yes,,1,,,597.7095,5655738.19,597.2096,5655738.179
193,17 AV SE,Yes,0.500022042,1.971173678,3.9,Yes,,1,,,598.2095,5655738.194,597.7095,5655738.19
194,17 AV SE,Yes,0.500016,1.662501634,3.3,Yes,,1,,,598.7095,5655738.198,598.2095,5655738.194
195,17 AV SE,Yes,0.50001521,1.66167784,3.3,Yes,,1,,,599.2095,5655738.202,598.7095,5655738.198
196,17 AV SE,Yes,0.499916003,1.660518599,3.3,Yes,,1,,,599.7094,5655738.206,599.2095,5655738.202
197,17 AV SE,Yes,0.50001521,1.660027955,3.3,Yes,,1,,,600.2094,5655738.21,599.7094,5655738.206
198,17 AV SE,Yes,0.500016,1.659226925,3.3,Yes,,1,,,600.7094,5655738.214,600.2094,5655738.21
199,17 AV SE,Yes,0.500016,1.658571085,3.3,Yes,,1,,,601.2094,5655738.218,600.7094,5655738.214
200,17 AV SE,Yes,0.50001521,1.65760312,3.3,Yes,,1,,,601.7094,5655738.222,601.2094,5655738.218
201,17 AV SE,Yes,0.500016,1.65680088,3.3,Yes,,1,,,602.2094,5655738.226,601.7094,5655738.222
202,17 AV SE,Yes,0.500016,1.65613194,3.3,Yes,,1,,,602.7094,5655738.23,602.2094,5655738.226
203,17 AV SE,Yes,0.499915213,1.65569945,3.3,Yes,,1,,,603.2093,5655738.234,602.7094,5655738.23
204,17 AV SE,Yes,0.500016,1.656733121,3.3,Yes,,1,,,603.7093,5655738.238,603.2093,5655738.234
205,17 AV SE,Yes,0.50001521,1.657456806,3.3,Yes,,1,,,604.2093,5655738.242,603.7093,5655738.238
206,17 AV SE,Yes,0.500016,1.658251496,3.3,Yes,,1,,,604.7093,5655738.246,604.2093,5655738.242
207,17 AV SE,Yes,0.500016,1.65875829,3.3,Yes,,1,,,605.2093,5655738.25,604.7093,5655738.246
208,17 AV SE,Yes,0.50001521,1.659430676,3.3,Yes,,1,,,605.7093,5655738.254,605.2093,5655738.25
209,17 AV SE,Yes,0.499916003,1.659751135,3.3,Yes,,1,,,606.2092,5655738.258,605.7093,5655738.254
210,17 AV SE,Yes,0.50001521,1.66078069,3.3,Yes,,1,,,606.7092,5655738.262,606.2092,5655738.258
211,17 AV SE,Yes,0.500016,1.66148312,3.3,Yes,,1,,,607.2092,5655738.266,606.7092,5655738.262
212,17 AV SE,Yes,0.500016,1.662155999,3.3,Yes,,1,,,607.7092,5655738.27,607.2092,5655738.266
213,17 AV SE,Yes,0.50001521,1.662856814,3.3,Yes,,1,,,608.2092,5655738.274,607.7092,5655738.27
214,17 AV SE,Yes,0.500016,1.663483155,3.3,Yes,,1,,,608.7092,5655738.278,608.2092,5655738.274
215,17 AV SE,Yes,0.500016,1.66418083,3.3,Yes,,1,,,609.2092,5655738.282,608.7092,5655738.278
216,17 AV SE,Yes,0.499915212,1.664571749,3.3,Yes,,1,,,609.7091,5655738.286,609.2092,5655738.282
217,17 AV SE,Yes,0.500016,1.66555602,3.3,Yes,,1,,,610.2091,5655738.29,609.7091,5655738.286
218,17 AV SE,Yes,0.50001521,1.666232969,3.3,Yes,,1,,,610.7091,5655738.293,610.2091,5655738.29
219,17 AV SE,Yes,0.500016,1.666857025,3.3,Yes,,1,,,611.2091,5655738.297,610.7091,5655738.293
220,17 AV SE,Yes,0.500016,1.667557025,3.3,Yes,,1,,,611.7091,5655738.301,611.2091,5655738.297
221,17 AV SE,Yes,0.50001521,1.66828297,3.3,Yes,,1,,,612.2091,5655738.305,611.7091,5655738.301
